Vaarikad 95/5 ekstra 2,5kg -18c PL;Marjad (külmutatud);2500
ALMA  Hapukoor 20% 500g kilep.;Hapukoor 20%;500
Hirss 1kg;Hirsitangud;1000
Br.kintsuliha nahata  2,5x4 PL -18c;Broilerifilee;1000
Jänks g.kohuke võiküpsise ja kirsitäidis;Kohuke (keskmiselt);1000
"Hakkliha ""Kodune"" 1.0kg SLPT";Hakkliha (sea-veise);1000
Seakaelakarbonaad  külm. LV/PL;Sealiha (keskmiselt);1000
PJ Pirn Conference suur kg;Pirn;1000
VESKI MATI Kaerahelbed 1kg(jämedad);Kaerahelbed;1000
VESKI MATI Tatar 7kg;Tatratangud;7000
SAAREMAA Või 82% 200g;Või 80%;200
PJ Hapukapsas porgandiga 1kg (Jaagumäe);Hapukapsas;1000
BALI Sõmer riis 10kg(2x5kg)(pol.kast);Riis;10000
VILMA Margariin küpsetamiseks 80% 500g;Margariin 80%;500
VESKI MATI Odrajahu 1,5kg;Odrajahu;1500
ESTOVER Hollandi leibjuust 25,2% 500g(viilud);Juust (keskmise rasvasusega);500
VALDORFO Puljongipulber kana 1kg;Maitseained (keskmiselt);1000
OHO Hommikusöök teraviljahelbed kakaoga 500g;Teraviljahelbed;500
EESTI PAGAR leivakast;!!!ÄRA SISESTA ANCsse!!!;1000
Stl.1391 09.10.17;!!!ÄRA SISESTA ANCsse!!!;1000
KURK kiles,Peipsi /Luunja;Kurk;1000
MURULAUK potis,Eesti;Maitseroheline;100
TÜÜMIAN potis, Eesti;Maitseroheline;100
AEDTILL UZ;Till;1000
ROHELINE SIBUL  Eesti, TTR 3435;Roheline sibul;1000
TOMAT ,Võiste aiand,Eesti 1.kl;Tomat;1000
"Kodujuust hapuk.ga  /5,0/  5% Farmi";Kodujuust 4%;5000
"Sealihast strogonov 2,0 Lepiku";Sealiha (keskmiselt);1000
Paprikalõik 2,5 pun.kol.rohe.-18c;Paprika;2500
Paprika pun.lõigatud 4250ml/3900g/1800g;Paprika;1800
"Eesti juust viil 1kg 25,2%" Estover;Juust (keskmise rasvasusega);1000
"SALVEST Tükeld.kurk 4,1kg";Kurk (konserveeritud);4100
Tomat purust. 2500g Itaalia;Tomat;2500
Saaremaa või 200g;Või 80%;200
Sool Ekstra 1kg;Sool;1000
EESTI PAGAR Õnne sepik 300g(viil);Sepik;1000
FLEVOGOLD Broileri kintsuliha nahata,kondita A-klass 2kg;Broilerifilee;2000
ARDO Lillkapsaõisikud (30/60mm) 2,5kg;Lillkapsas;2500
FROZANA Brokoli õisikud 2,5kg;Brokkoli (külmutatud);2500
TARTU MILL Manna 3kg;Manna;3000
EESTI PAGAR Rukkisepik 300g;Sepik;1000
EESTI PAGAR Jassi seemneleib 650g;Teraleib;650
Maisimanna 1kg KATI;Maisimanna;1000
Kanamunad L  Läti BALTICOVO;Muna;1000
Tursa filee porstion n.-ta 5,5kg Norra/real:31.01.2018 ... -18*c;Kalafilee (keskmiselt);1000
Kookoshelbed 500g AK;Kookoshelbed;500
Must pipar tera 500g;Pipar;500
"Sealihast guljass 2,0 Lepiku";Sealiha (keskmiselt);1000
Merevaik sul.juust 370g laktoosivaba TERE;Sulatatud juust (keskmise rasvasusega);370
Külm.Frikadell Mini 1kg-18c UVIC;Frikadellid;1000
"Põldmarjad 1,0kg külm.";Marjad (külmutatud);1000
Vürtsikilu filee 520g Vici;Vürtsikilu;520
Vürtsikilu filee 210g Vici;Vürtsikilu;210
Maasika kuubikud 10x10mm 2,5kg GG -18c;Marjad (külmutatud);2500
Tuunikala õlis alum.pak.1000g/950g EC;Tuunikala;1000
Porgandikuubikud 2,5kg-18c;Porgand;2500
Broileri hakkliha 1,0 külm. Vanaema Köök";Broilerifilee;1000
"Gefilus Hapupiim 2.5% 1,0 PP";Hapupiim 2,5%;1000
EveSol 70% margariin 500g (18);Margariin 80%;500
